Sl No,Districts/City,Assault on Women with Intent to Outrage her Modesty - Incidents (I),Assault on Women with Intent to Outrage her Modesty - Victims (V),Assault on Women with Intent to Outrage her Modesty - R (Crime Rate),Assault on Women - I,Assault on Women - V,Assault on Women - R,Sexual Harrassment Total - I,Sexual Harrassment Total - V,Sexual Harrassment Total - R,SH At work/premises - I,SH At work/premises - V,SH At work/premises - R,SH in Public transport - I,SH in Public transport - V,SH in Public transport - R,SH in shelter homes for women and children - I,SH in shelter homes for women and children - V,SH in shelter homes for women and children - R,SH in Other places - I,SH in Other places - V,SH in Other places - R,"Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - I","Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - V","Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - R",Voyeurism - I,Voyeurism - V,Voyeurism - R,Stalking - I,Stalking - V,Stalking - R,Rape (Sec 376) - I,Rape - V,Rape - R,Attempt to Commit Rape (Sec.376/511) - I,Attempt to Commit Rape - V,Attempt to Commit Rape - R
1,Ariyalur,5,5,1.2,2,2,0.5,1,1,0.2,0,0,0,0,0,0,0,0,0,1,1,0.2,0,0,0,1,1,0.2,1,1,0.2,10,10,2.5,0,0,0
2,Chennai,166,167,5.5,94,94,3.1,23,23,0.8,1,1,0,0,0,0,0,0,0,22,22,0.7,7,7,0.2,5,6,0.2,37,37,1.2,20,20,0.7,2,2,0.1
3,Coimbatore,13,13,1,13,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.4,0,0,0
4,Coimbatore City,23,23,4.1,22,22,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,6,6,1.1,0,0,0
5,Cuddalore,50,50,3.6,6,6,0.4,12,12,0.9,0,0,0,12,12,0.9,0,0,0,0,0,0,12,12,0.9,10,10,0.7,10,10,0.7,13,13,0.9,0,0,0
6,Dharmapuri,26,26,3.2,16,16,2,6,6,0.7,0,0,0,0,0,0,0,0,0,6,6,0.7,2,2,0.2,0,0,0,2,2,0.2,10,10,1.2,1,1,0.1
7,Dindigul,33,33,2.9,11,11,1,21,21,1.8,0,0,0,0,0,0,0,0,0,21,21,1.8,0,0,0,1,1,0.1,0,0,0,9,9,0.8,0,0,0
8,Erode,22,22,1.8,22,22,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.2,0,0,0
9,Kanchipuram,9,9,1.9,2,2,0.4,7,7,1.4,0,0,0,0,0,0,0,0,0,7,7,1.4,0,0,0,0,0,0,0,0,0,5,5,1,1,1,0.2
10,Kanyakumari,11,11,1.1,11,11,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.3,0,0,0
11,Karur,3,3,0.5,3,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.9,1,1,0.2
12,Krishnagiri,29,29,2.9,24,24,2.4,5,5,0.5,0,0,0,0,0,0,0,0,0,5,5,0.5,0,0,0,0,0,0,0,0,0,6,6,0.6,2,2,0.2
13,Madurai,51,51,4.7,39,39,3.6,8,8,0.7,1,1,0.1,0,0,0,0,0,0,7,7,0.6,1,1,0.1,3,3,0.3,0,0,0,14,14,1.3,5,5,0.5
14,Madurai City,44,44,8.1,3,3,0.6,41,41,7.5,0,0,0,0,0,0,0,0,0,41,41,7.5,0,0,0,0,0,0,0,0,0,14,14,2.6,0,0,0
15,Nagapattinam,22,22,5.9,15,15,4,4,4,1.1,0,0,0,0,0,0,0,0,0,4,4,1.1,1,1,0.3,0,0,0,2,2,0.5,7,7,1.9,3,3,0.8
16,Namakkal,33,33,3.6,33,33,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.3,0,0,0
17,Nilgiris,9,9,2.3,9,9,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Perambalur,72,72,23.8,65,65,21.5,5,5,1.7,0,0,0,0,0,0,0,0,0,5,5,1.7,1,1,0.3,1,1,0.3,0,0,0,7,7,2.3,2,2,0.7
19,Pudukottai,36,55,4.2,36,55,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.9,0,0,0
20,Ramnathapuram,18,18,2.5,18,18,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1.2,4,4,0.6
21,Railway Chennai,5,5,-,5,5,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
22,Railway Trichy,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,1,1,-,0,0,-
